step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
21600,75,52,1,-4.0,0.15216,-0.01372,0.0906,-0.1477,0.003928,-0.0862,0.04931,0.00025,3,38,38,99.3
21888,76,53,483,132.8417,0.02745,-0.0011,0.01725,-0.0227,0.0006,-0.3662,0.0046,0.00025,2,61,61,100.0
22176,77,54,439,111.8287,0.07029,-0.00911,0.06201,-0.0974,0.002162,0.0078,0.02023,0.00025,2,45,45,97.6
22464,78,55,345,67.8341,0.06797,-0.00753,0.07049,-0.0697,0.000684,0.1059,0.00833,0.00025,3,49,51,99.0
22752,79,55,345,67.8341,0.14674,-0.00718,0.05889,-0.0591,0.001165,0.058,0.00851,0.00025,3,49,51,99.0
23040,80,56,466,123.2395,0.14147,-0.00746,0.0761,-0.0857,0.002329,0.1395,0.01814,0.00025,3,58,58,97.7
23328,81,57,361,57.2519,0.02432,-0.00218,0.01487,-0.0193,0.000503,-0.4741,0.00503,0.00025,3,36,36,100.0
23616,82,57,361,57.2519,0.04939,-0.00906,0.03398,-0.0462,0.002118,-0.0721,0.01128,0.00025,3,36,36,100.0
23904,83,58,1,-4.0,0.07202,-0.01162,0.06027,-0.0634,0.003374,0.1399,0.0184,0.00025,3,35,35,100.0
24192,84,59,470,120.6308,0.12064,-0.0166,0.08126,-0.1546,0.00388,0.0524,0.03073,0.00025,2,47,48,100.0
24480,85,59,470,120.6308,0.0996,-0.00716,0.07082,-0.0889,0.0065,-0.0732,0.0217,0.00025,4,47,48,100.0
24768,86,60,471,107.8418,0.07766,-0.01343,0.07286,-0.1753,0.011741,0.0585,0.04227,0.00025,2,41,41,100.0
