step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
27360,53,112,327,28.0403,0.04364,-0.00731,0.02162,-0.035,0.00209,-0.2055,0.01458,0.00025,3,25,25,100.0
27648,54,113,310,55.4096,0.13267,-0.00895,0.06191,-0.0657,0.003124,-0.013,0.01927,0.00025,2,18,18,100.0
27936,55,114,399,78.406,0.02962,-0.00073,0.01951,-0.0119,6.9e-05,0.315,0.00026,0.00025,2,26,26,95.2
28224,56,115,270,35.7047,0.17027,-0.00617,0.0971,-0.0671,0.001201,0.0706,0.01102,0.00025,2,28,29,99.1
28512,57,116,280,76.0261,0.0606,-0.00865,0.03923,-0.0518,0.00185,-0.094,0.01137,0.00025,2,20,20,100.0
28800,58,117,264,22.9141,0.11885,-0.00447,0.0531,-0.0347,0.000871,0.009,0.0079,0.00025,2,20,21,100.0
29088,59,119,1,-4.0,0.07334,-0.01213,0.04106,-0.038,0.001346,-0.1163,0.01311,0.00025,2,13,14,86.9
29376,60,119,1,-4.0,0.14645,-0.0073,0.0673,-0.0422,0.001218,-0.0767,0.01085,0.00025,3,13,14,86.9
29664,61,120,1,-4.0,0.16019,-0.00648,0.10458,-0.0751,0.001081,0.0837,0.00929,0.00025,3,28,28,95.4
29952,62,121,351,87.9477,0.03358,-0.00489,0.04297,-0.0645,0.002445,-0.1841,0.02092,0.00025,2,27,27,98.4
30240,63,122,314,31.4251,0.04696,-0.00566,0.02542,-0.0234,0.001018,-0.0037,0.00712,0.00025,2,26,26,99.2
30528,64,123,299,82.4181,0.08621,-0.0083,0.05991,-0.0348,0.001513,0.0014,0.00929,0.00025,3,27,27,99.4
30816,65,124,339,84.6226,0.12974,-0.00472,0.08734,-0.0775,0.001101,0.0185,0.01059,0.00025,3,18,18,93.6
31104,66,124,339,84.6226,0.07865,-0.00474,0.0353,-0.0546,0.000932,-0.2644,0.01285,0.00025,2,18,18,93.6
31392,67,126,1,-4.0,0.07635,-0.00463,0.05747,-0.0426,0.001093,0.0494,0.00972,0.00025,2,24,26,100.0
31680,68,126,1,-4.0,0.10429,-0.00547,0.08601,-0.0661,0.001061,-0.0625,0.00885,0.00025,2,24,26,100.0
31968,69,127,327,98.904,0.15709,-0.00848,0.08727,-0.0697,0.001137,0.0229,0.00972,0.00025,2,30,31,88.7
32256,70,128,294,28.6055,0.07122,-0.00374,0.03452,-0.0345,0.001027,-0.0727,0.01042,0.00025,2,24,24,99.8
32544,71,129,341,25.6016,0.09754,-0.00646,0.04269,-0.0313,0.001264,0.1491,0.01128,0.00025,2,22,23,100.0
32832,72,131,267,90.8677,0.03787,-1e-05,0.01118,-0.0018,0.0,-0.1597,0.0,0.00025,2,22,23,100.0
33120,73,132,253,37.9745,0.08,-0.00724,0.06103,-0.076,0.001089,0.0055,0.01042,0.00025,1,30,30,98.3
33408,74,133,292,31.0361,0.00896,-0.00371,0.01124,-0.078,0.002136,-0.2451,0.03724,0.00025,2,24,24,100.0
