time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,sigma0,sigma1,sigma2,cx,cy,cz,battery_pct,action_name,action_idx
72.0,-3587154.938,-6060891.366,534856.914,-625.817,1026.411,7414.013,0.022627,-0.002316,0.028380,0.001678,-0.083729,0.996487,99.99,DRIFT,48
73.0,-3587768.615,-6059844.288,542269.661,-621.753,1033.270,7413.381,0.023187,0.001135,0.029751,0.016033,-0.083846,0.996350,99.99,DRIFT,48
74.0,-3588382.292,-6058797.210,549682.408,-617.689,1040.129,7412.748,0.023747,0.004587,0.031123,0.030397,-0.083947,0.996006,99.99,DRIFT,48
75.0,-3588995.969,-6057750.132,557095.155,-613.625,1046.989,7412.116,0.024307,0.008038,0.032494,0.044760,-0.084031,0.995457,99.99,DRIFT,48
76.0,-3589609.646,-6056703.054,564507.902,-609.561,1053.848,7411.483,0.024866,0.011489,0.033865,0.059114,-0.084097,0.994703,99.99,DRIFT,48
77.0,-3590223.323,-6055655.976,571920.649,-605.497,1060.707,7410.851,0.025426,0.014940,0.035237,0.073450,-0.084145,0.993743,99.99,DRIFT,48
78.0,-3590837.000,-6054608.898,579333.396,-601.433,1067.567,7410.218,0.025986,0.018391,0.036608,0.087759,-0.084177,0.992579,99.99,DRIFT,48
79.0,-3591450.677,-6053561.821,586746.143,-597.369,1074.426,7409.586,0.026546,0.021842,0.037979,0.102033,-0.084191,0.991212,99.99,DRIFT,48
80.0,-3592064.354,-6052514.743,594158.890,-593.305,1081.285,7408.953,0.027106,0.025293,0.039351,0.116262,-0.084187,0.989644,99.99,DRIFT,48
81.0,-3592678.031,-6051467.665,601571.637,-589.241,1088.145,7408.321,0.027666,0.028744,0.040722,0.130437,-0.084167,0.987878,99.99,DRIFT,48
82.0,-3593291.708,-6050420.587,608984.384,-585.177,1095.004,7407.688,0.028226,0.032195,0.042093,0.144552,-0.084129,0.985914,99.99,DRIFT,48
83.0,-3593905.385,-6049373.509,616397.130,-581.114,1101.864,7407.055,0.028786,0.035646,0.043465,0.158597,-0.084075,0.983757,99.98,DRIFT,48
84.0,-3594519.062,-6048326.431,623809.877,-577.050,1108.723,7406.423,0.029345,0.039097,0.044836,0.172564,-0.084004,0.981410,99.98,DRIFT,48
85.0,-3595132.739,-6047279.354,631222.624,-572.986,1115.582,7405.790,0.029905,0.042548,0.046208,0.186446,-0.083916,0.978875,99.98,DRIFT,48
86.0,-3595746.416,-6046232.276,638635.371,-568.922,1122.442,7405.158,0.030465,0.045999,0.047579,0.200235,-0.083812,0.976156,99.98,DRIFT,48
87.0,-3596360.093,-6045185.198,646048.118,-564.858,1129.301,7404.525,0.031025,0.049450,0.048950,0.213924,-0.083692,0.973259,99.98,DRIFT,48
88.0,-3596973.770,-6044138.120,653460.865,-560.794,1136.160,7403.893,0.031585,0.052901,0.050322,0.227505,-0.083556,0.970185,99.98,DRIFT,48
89.0,-3597587.447,-6043091.042,660873.612,-556.730,1143.020,7403.260,0.032145,0.056352,0.051693,0.240972,-0.083405,0.966941,99.98,DRIFT,48
90.0,-3598201.123,-6042043.964,668286.359,-552.666,1149.879,7402.628,0.032705,0.059803,0.053064,0.254319,-0.083239,0.963532,99.98,DRIFT,48
90.0,-3598201.123,-6042043.964,668286.359,-552.666,1149.879,7402.628,0.032705,0.059803,0.053064,0.254319,-0.083239,0.963532,99.98,DRIFT,48
91.0,-3598692.592,-6040791.676,675676.347,-548.583,1156.699,7401.743,0.032196,0.056361,0.049195,0.240703,-0.082729,0.967067,99.98,DRIFT,48
92.0,-3599184.060,-6039539.388,683066.334,-544.501,1163.519,7400.858,0.031688,0.052920,0.045326,0.226959,-0.082199,0.970429,99.98,DRIFT,48
93.0,-3599675.528,-6038287.099,690456.322,-540.418,1170.340,7399.974,0.031180,0.049478,0.041456,0.213095,-0.081649,0.973614,99.98,DRIFT,48
94.0,-3600166.996,-6037034.811,697846.310,-536.335,1177.160,7399.089,0.030672,0.046036,0.037587,0.199117,-0.081081,0.976616,99.98,DRIFT,48
95.0,-3600658.464,-6035782.523,705236.297,-532.253,1183.980,7398.205,0.030163,0.042594,0.033718,0.185033,-0.080492,0.979430,99.98,DRIFT,48
96.0,-3601149.932,-6034530.234,712626.285,-528.170,1190.800,7397.320,0.029655,0.039152,0.029848,0.170850,-0.079885,0.982053,99.98,DRIFT,48
97.0,-3601641.400,-6033277.946,720016.273,-524.088,1197.620,7396.435,0.029147,0.035710,0.025979,0.156578,-0.079258,0.984480,99.98,DRIFT,48
98.0,-3602132.868,-6032025.658,727406.260,-520.005,1204.440,7395.551,0.028639,0.032268,0.022109,0.142223,-0.078613,0.986708,99.98,DRIFT,48
99.0,-3602624.336,-6030773.369,734796.248,-515.922,1211.261,7394.666,0.028130,0.028827,0.018240,0.127795,-0.077949,0.988733,99.98,DRIFT,48
100.0,-3603115.804,-6029521.081,742186.236,-511.840,1218.081,7393.782,0.027622,0.025385,0.014371,0.113303,-0.077267,0.990552,99.98,DRIFT,48
101.0,-3603607.273,-6028268.793,749576.223,-507.757,1224.901,7392.897,0.027114,0.021943,0.010501,0.098755,-0.076566,0.992162,99.98,DRIFT,48
